name,description,address,latitude,longitude,updated_at
amató,"Heladería japonesa. Su yuzu cake es muy recomendable.
","Dunckerstraße, 69, 10437",52.5451364,13.422882,2025-08-24
Café Komine,"
","Welserstraße, 13-15",52.49783,13.341739,2025-08-22
onette,"Diner americano en el barrio de Schöneberg. El servicio es súper amable y la cola para entrar súper larga si llegas en mal momento. Me quedé sin probar el Krosses Fischbrötchen (aka Crispy Fish Bun), pero la alternativa (sandwich de col rizada, espinacas y acelgas estofadas, acompañadas de ensalada de col y queso Old Amsterdam en un pan de molde gordísimo) me gustó mucho.
",Grunewaldstraße 11,52.490185,13.355147,2025-08-17
Acid P-Berg,"Segunda cafetería de Acid en la ciudad. El café está rico pero es muy caro.
",Christinenstraße 19a,52.532215,13.410291,2025-08-11
Kiez Kaffee Kraft,"Lugar de confianza cafetera en la zona. Precios razonables y baño, lo cual es cada vez más difícil de encontrar.
","Schivelbeiner Straße, 23",52.551186,13.404072,2025-08-11
Jules,"Buena cafetería en esta zona, perfecta como plan B si Café Komine está imposible.
","Geisbergstraße, 9",52.497444,13.342103,2025-08-11
Cafe Sgaminegg,"Cafetería con menú del día y ambiente acogedor.
","Seelower Straße, 2",52.550415,13.410474,2025-08-11
Modulor,"Modulor Material Total
","Prinzenstraße, 85",52.5033859,13.4100566,2025-08-11
Foto Meyer,"Bien surtida tienda de fotografía digital, con buenos precios en cámaras analógicas de segunda mano.
","Welserstraße, 1",52.49624,13.341607,2025-08-11
Babel,"Nunca me he sentado para comer aquí, pero puedo recomendar sus falafels para llevar.
","Kastanienallee, 33",52.5367,13.407453,2025-08-10
Zola,"La «Zola Neapolitan mit Fior di Latte, Birne, Walnüssen und Gorgonzola» estaba muy rica.
","Paul-Lincke-Ufer, 39-40",52.49674658332709,13.42246464603288,2025-08-10
Watapas,"Una más que buena izakaya tapas bar.
",Bötzowstraße 33,52.5320983,13.434446,2025-08-10
Tresen-Treff,"Un pub de barrio rescatado por sus tres dueños. La clientela es una mezcla de gente del barrio de hoy y siempre y gente joven. Sirven especialidades berlinesas actualizadas. Muy rico.
","Berliner Straße, 167",52.48805,13.336748,2025-08-10
DASHI Canteen,"Como el Dashi de Invalidenstraße, pero con vistas al Spree y con mucho más espacio. El tamago sando es lo que siempre me pido aquí.
","Englische Straße, 21",52.51656,13.332574,2025-08-10
Bekarei,"Especialidades de repostería portuguesa y griega en Berlín. Nota para mí: abstenerse de volver a pedir café.
",Dunckerstraße 23,52.544327,13.422646,2025-08-10
Odeon,"Cine de una única sala con clara inspiración americana. Es parte del Yorck Kinogruppe, por lo que merece la pena abrirse una cuenta en la web y ahorrarse un euro por entrada comprando online. Calcula 15 minutos de anuncios y trailers antes de la película.
","Hauptstraße, 116",52.482044,13.349654,2025-08-10
Das neue Café Leo,"Una caftería situada en un kiosko en medio de una plaza del barrio de Wedding, que además de ofrecer café de especialidad a precios populares, ofrece asesoramiento social y actividades vecinales.
",Auf dem Leopoldplatz,52.54719755887236,13.358785015341178,2024-10-07
Café Strauss,"Un café muy tranquilo frente a un cementerio muy tranquilo (espero).
","Bergmannstraße, 42",52.4886291,13.4011481,2024-10-07
Bonanza,"","Adalbertstraße, 70",52.504183,13.420258,2024-10-07
Bartleby & Co,"Librería española capitaneada por Ana Pareja.
",Boppstraße 2,52.493500792859805,13.435139298296505,2024-10-07
